Name,Id,Strength,Defense,Speed,Dexterity,Total,level,attackswon,attackslost,attacksdraw,attacksassisted,defendswon,defendslost,defendsstalemated,elo,yourunaway,theyrunaway,unarmoredwon,bestkillstreak,attackhits,attackmisses,attackdamage,bestdamage,onehitkills,attackcriticalhits,roundsfired,specialammoused,hollowammoused,tracerammoused,piercingammoused,incendiaryammoused,attacksstealthed,retals,moneymugged,largestmug,itemslooted,highestbeaten,respectforfaction,rankedwarhits,raidhits,territoryjoins,territoryclears,territorytime,jobpointsused,trainsreceived,itemsbought,auctionswon,auctionsells,itemssent,trades,cityitemsbought,pointsbought,pointssold,bazaarcustomers,bazaarsales,bazaarprofit,itemmarketcustomers,itemmarketsales,itemmarketrevenue,itemmarketfees,jailed,peoplebusted,failedbusts,peoplebought,peopleboughtspent,hospital,medicalitemsused,bloodwithdrawn,reviveskill,revives,revivesreceived,heahits,machits,rifhits,smghits,shohits,pishits,grehits,piehits,slahits,axehits,chahits,h2hhits,mailssent,friendmailssent,factionmailssent,companymailssent,spousemailssent,classifiedadsplaced,personalsplaced,criminaloffenses,vandalism,theft,counterfeiting,fraud,illicitservices,cybercrime,extortion,illegalproduction,organisedcrimes,searchforcashskill,bootleggingskill,graffitiskill,shopliftingskill,pickpocketingskill,cardskimmingskill,burglaryskill,hustlingskill,disposalskill,crackingskill,forgeryskill,scammingskill,bountiesplaced,totalbountyspent,bountiescollected,totalbountyreward,bountiesreceived,receivedbountyvalue,cityfinds,dumpfinds,itemsdumped,booksread,boostersused,consumablesused,candyused,alcoholused,energydrinkused,statenhancersused,eastereggs,eastereggsused,virusescoded,traveltimes,traveltime,itemsboughtabroad,huntingskill,attackswonabroad,defendslostabroad,argtravel,mextravel,dubtravel,hawtravel,japtravel,lontravel,soutravel,switravel,chitravel,cantravel,caytravel,drugsused,overdosed,rehabs,rehabcost,cantaken,exttaken,kettaken,lsdtaken,opitaken,pcptaken,shrtaken,spetaken,victaken,xantaken,missionscompleted,contractscompleted,dukecontractscompleted,missioncreditsearned,racingskill,racingpointsearned,racesentered,raceswon,networth,useractivity,activestreak,bestactivestreak,awards,nerverefills,tokenrefills,meritsbought,daysbeendonator,rankedwarringwins,arrestsmade,weaponsbought,dumpsearches,refills
Captive [750078],750078,"2,841,781,187","4,520,090,189","2,321,866,936","2,361,640,385","12,045,378,697",100,11617,268,235,488,555,4775,40,2637,582,10,326,279,71294,25461,88361101,10176,2507,11900,208157,32227,12182,6233,7325,6487,3516,44,342009458,195099750,59,100,89180,260,2,3306,2054,6650588,28517,1576,4968,0,0,258,8,186362,31909,1025,2358,269955,19559369578,0,0,0,0,1147,13819,372,1375,23047506,7985,50368,40097,1,1,451,178,116,960,1046,610,1082,727,3175,1316,1389,514,696,309,26,58,30,8,0,0,151312,4769,51497,18443,28002,21407,27194,0,0,374,100,100,100,100,100,100,100,100,100,100,100,100,107,27741261,642,307404547,41,48661501,855,44,5044,4,173,79577,2806,75307,1464,0,30,0,538,9073,39398400,222569,34,148,111,187,4513,227,215,54,524,196,731,316,990,1120,8880,194,24627,5060235000,326,54,50,464,50,50,50,50,93,7691,1,1429,1429,58260,59,5310,12467,4551,136748193714,18785604,1719,1719,560,1160,64,29,4544,72,0,0,0,3693
RockyRoxanne [2282703],2282703,"510,510,020","500,599,390","512,122,429","424,518,439","1,947,750,278",86,5633,379,41,58,78,1400,2,2520,62,51,6,130,23009,7874,14083476,8443,747,3770,142591,11587,2267,3500,3313,2507,1815,13,42947926,15878015,0,100,29459,411,2,552,177,971200,17061,1093,2669,1,2,69,211,19620,52327,1924,522,15559,1020409298,0,0,0,0,213,28,80,1,31000,2273,13626,10855,2,7,440,100,275,2083,143,100,990,261,1113,117,289,100,115,144,26,17,8,2,0,0,39826,2717,9529,4782,20828,582,1388,0,0,447,100,100,100,100,69,50,54,50,51,69,13,60,33,11048404,28,10290006,43,14525031,999,74,5049,3,111,14719,11195,3499,25,0,28,15,73,1766,27993600,46086,11,168,321,268,52,79,68,68,136,198,260,521,66,50,2927,50,535,133660000,14,225,0,0,0,0,0,0,7,2681,1,296,296,8543,19,981,2314,183,6934419940,3933867,80,384,417,123,0,43,1848,6,0,0,0,1437
MrTedz [2376881],2376881,"1,025,064","1,087,395","1,000,677","43,916,900","47,030,036",52,1783,164,57,35,109,951,21,1529,30,6,10,81,9599,4547,3931541,4339,305,1414,12101,9,9,0,0,0,1462,4,19970836,3246566,1,100,5026,140,0,0,0,0,5607,418,2364,0,3,54,20,1644,8121,4720,248,3350,653482090,0,0,0,0,85,1,5,0,0,1228,1472,20,65,664,39,0,21,85,43,15,30,5,753,537,393,0,8,42,2,13,0,2,0,0,14454,1319,7192,142,213,10,5578,0,0,171,100,5,74,42,5,66,54,5,6,100,3,2,47,4463776,8,630500,7,1350011,508,1743,1264,1,208,1140,968,142,30,0,3,0,15,151,2592000,3226,9,82,118,0,5,40,2,41,2,6,48,2,3,2,539,12,82,20500000,0,37,0,0,0,0,1,0,10,491,1,216,216,5964,4,553,304,124,699827998,1483601,11,120,274,68,0,0,586,14,0,0,0,405
Grozzy [2224217],2224217,"1,130,536,203","1,010,448,748","921,764,334","1,000,394,259","4,063,143,544",100,12880,708,157,1290,1218,3143,16,2382,324,6,279,572,39706,26169,38335690,10839,5653,8292,1399536,14681,2746,4465,2731,4739,4683,60,57202825,7750000,1,100,67907,1419,0,1108,216,2681517,18549,5157,2631,11,11,129,70,53958,81162,26100,954,95831,9569419671,0,0,0,0,868,2716,442,506,163803725,4289,12245,3454,100,3968,509,398,1023,4475,960,1008,1183,358,1381,1540,339,1122,181,91,19,18,4,1,2,3,128309,14624,45659,23244,21201,10490,13091,0,0,443,100,100,100,100,100,100,100,100,100,100,100,100,46,11764502,213,19167428,50,16028896,1781,1896,6394,19,360,27831,3603,23114,1114,1,30,13,112,2088,31190400,57067,90,132,101,51,57,271,70,65,861,121,373,83,74,62,4802,95,2284,496900000,76,52,50,50,50,50,50,50,54,4315,1,1022,1022,34124,19,4038,3943,1093,29372412085,6606866,1719,1719,575,1473,259,50,2303,35,0,0,0,1622
Elemak [2255978],2255978,"1,634,461,750","1,010,822,390","1,154,327,412","2,185,168,934","5,984,780,486",100,22460,1280,452,622,1596,4589,126,2430,166,38,354,706,90282,53200,95041238,16044,7378,18282,386164,42929,13301,10581,9145,9902,7867,838,2480230424,201150000,7,100,121053,5123,67,411,744,1340895,18102,1237,21277,68,282,974,637,46907,67673,39381,1679,90485,112528563251,0,0,0,0,1236,1732,727,283,61518551,7208,13873,1938,15,93,538,1015,1000,6212,1118,1141,1667,1134,2702,3091,2820,1063,1007,683,89,448,18,8,3,0,100683,10535,28962,10873,28715,11385,10213,0,0,384,100,100,100,100,100,100,100,100,100,100,100,100,979,600038655,756,188204512,353,108600805,478,1109,5263,20,494,21472,1906,13338,6228,1,29,3,125,1837,33868800,49149,95,1074,415,52,68,55,54,51,63,874,401,54,101,64,5260,87,4037,981175000,117,72,10,36,0,6,5,1,82,4917,1,919,919,37293,6,726,746,113,51576374387,21510825,1193,1193,571,1405,273,50,2245,64,0,0,0,1645
PhillyBob [3339885],3339885,"180,000","180,407","172,257","168,734","701,398",31,465,36,2,17,37,689,0,1414,0,1,6,46,1713,1068,354948,1866,143,209,7211,20,0,0,20,0,170,1,197073,105590,0,100,2957,287,0,0,0,0,1465,227,6376,0,0,10,5,513,700,155,0,0,0,218,5525,438502553,3511015,145,0,3,0,0,818,1467,431,1,0,10,0,0,304,0,0,22,19,146,0,5,0,3,2,0,0,0,0,0,0,19163,2885,8829,4019,753,2,2675,0,0,51,100,100,100,100,74,100,2,1,1,90,2,4,10,1999980,1,100000,18,915000,164,331,159,1,48,4709,566,4136,7,0,1,1,6,212,1728000,5462,1,0,73,109,91,0,0,0,0,0,2,1,9,0,548,1,3,750000,365,18,0,1,0,0,0,0,6,158,1,10,10,194,7,1006,1118,294,1225748721,1224423,143,166,213,6,0,0,322,12,0,0,0,19
Gawdly [2200587],2200587,"1,735,463,606","399,430,343","1,817,877,947","2,333,792,492","6,286,564,388",100,10330,307,74,380,379,3904,28,2589,12,20,6,232,37421,19744,46060146,10981,2466,7109,70786,9265,73,4542,630,4020,6835,98,869543596,57481081,7,100,62521,726,0,1042,846,4495234,15994,3105,323,2,2,768,93,5146,102208,24855,68,4899,1928532091,0,0,0,0,210,0,4,0,0,5406,5631,273,1,0,1160,103,115,1888,145,100,173,108,4531,2913,120,369,73,70,27,20,7,4,0,1,66990,2675,25917,3953,15439,11412,7594,0,0,337,100,100,100,100,100,100,100,35,100,100,7,52,137,103258173,51,9321990,160,51736015,1208,253,10944,9,1697,7820,255,2536,5029,1,29,1,0,392,5097600,10022,6,40,129,35,29,10,5,5,18,10,237,10,18,15,4388,87,1683,368895000,1,58,0,0,0,0,0,0,74,4248,1,276,276,7188,8,1433,1192,246,23625300797,7124872,107,212,439,1013,15,50,2352,46,0,0,0,1816
14korn [2188060],2188060,"184,666,388","194,979,641","112,684,461","196,136,161","688,466,651",78,3308,219,82,75,28,3364,35,2231,70,25,5,66,12335,13534,6191633,6609,699,1816,56116,1169,669,0,500,0,2571,3,15920682,4552000,0,98,16009,671,0,320,6,331239,19144,1855,9669,0,0,82,144,63701,250,30477,0,0,0,0,0,0,0,527,413,221,0,0,4547,4411,2461,60,616,482,8,0,538,4,1,46,2,2583,104,16,0,7,125,8,55,7,0,1,1,28262,3173,14343,4719,2594,1244,2189,0,0,489,100,100,100,100,100,85,44,1,13,3,1,3,69,99558652,26,816835,34,4366332,899,66,5013,5,279,4169,1604,2528,37,0,27,12,2,5165,68256000,130416,13,102,1598,473,557,452,221,228,728,512,479,492,496,527,3105,49,295,71880000,12,510,0,0,4,0,0,0,6,2572,1,66,66,947,3,162,174,26,26551978042,4471425,347,347,381,94,0,0,1131,24,0,0,0,184
-HULK- [1082058],1082058,"1,423,830,801","635,922,894","1,054,535,992","500,895,930","3,615,185,617",91,3477,212,18,32,436,4358,42,2218,24,28,0,73,16162,11184,13822490,9391,965,2702,42334,1109,0,0,0,1109,1496,0,283514903,32953135,0,100,11428,516,0,113,43,1036361,21104,1769,4727,76,33,14,23,21303,270856,252935,188,8007,1327418410,0,0,0,0,543,529,182,0,0,5313,1996,442,1,0,269,0,0,1806,150,289,117,102,473,231,296,109,39,1528,52,84,73,94,0,1,47663,492,21956,4264,18878,66,2007,0,0,411,39,100,51,35,6,1,1,1,1,1,1,1,34,12422654,18,2825502,90,26828000,1120,26,1604,0,0,4189,3217,969,3,0,6,0,29,810,12960000,20557,17,857,394,10,18,92,16,33,73,20,281,198,43,26,2370,60,355,86835000,0,23,0,0,0,0,1,0,8,2338,1,68,68,1026,17,3379,2871,620,29327573545,3342932,11,275,373,10,0,0,3164,40,0,0,0,1544
-420- [1514633],1514633,"1,118,123,636","1,017,369,842","1,033,012,474","218,406,943","3,386,912,895",100,18609,1522,213,780,2585,7791,12,2483,128,23,327,1106,60032,31437,83984757,16766,10762,9468,96928,24090,3380,7480,4780,8450,4935,910,510586284,88100416,8,100,96121,9225,330,329,304,2129676,19742,1709,3075,37,78,820,475,15195,204268,66701,4910,94902,32885310909,0,0,0,0,1067,1206,485,352,195681261,9431,12465,369,40,308,1179,1046,201,3118,572,458,1043,1586,2160,9516,707,0,598,2722,265,727,110,91,1,3,84291,8078,40364,14364,13751,1593,6141,0,0,467,100,100,100,100,100,100,79,100,100,100,17,22,1312,692818976,602,84151853,1279,259563258,1553,7309,6095,19,731,16323,7143,7061,2119,1,31,24,8,906,9936000,21087,56,231,153,19,191,64,42,16,20,76,269,66,72,71,4079,85,2676,633915000,30,144,3,2,3,1,5,2,401,3487,1,429,429,10044,4,102,145,14,1453484039,14381390,1365,1365,521,621,123,50,2386,70,0,0,0,1143
