
-------------------------------------------------------------------------------------------------
|                         Stock |                      Change % |                   Predictions |
-------------------------------------------------------------------------------------------------
|                           YAZ |                          0.04 |                   [0.0, 0.07] |
|                           MUN |                          0.04 |                  [0.03, 0.04] |
|                           THS |                          0.03 |                        [0.03] |
|                           GRN |                          0.01 |                        [0.01] |
|                           IST |                         -0.01 |                 [-0.02, 0.01] |
|                           SYS |                         -0.02 |                 [-0.04, -0.0] |
|                           HRG |                         -0.04 |                [-0.04, -0.03] |
|                           CBD |                         -0.04 |                [-0.03, -0.06] |
|                           ELT |                         -0.06 |                 [0.02, -0.14] |
|                           TCM |                         -0.07 |                [-0.06, -0.09] |
|                           LSC |                          -0.1 |                        [-0.1] |
|                           TGP |                         -0.11 |                 [-0.12, -0.1] |
|                           TCP |                         -0.12 |                [-0.07, -0.16] |
|                           IIL |                         -0.12 |                       [-0.12] |
|                           SYM |                         -0.13 |                [-0.12, -0.14] |
|                           MSG |                         -0.13 |                 [-0.1, -0.16] |
|                           EVL |                          -0.2 |                [-0.18, -0.21] |
|                           WSU |                         -0.21 |                [-0.19, -0.24] |
|                           LAG |                         -0.25 |                       [-0.25] |
|                           TCI |                         -0.27 |                 [-0.24, -0.3] |
|                           IOU |                         -0.33 |                [-0.27, -0.38] |
|                           ASS |                         -0.36 |                [-0.28, -0.44] |
|                           LOS |                          -0.4 |                 [-0.3, -0.49] |
|                           WLT |                         -0.46 |                [-0.39, -0.52] |
|                           TCT |                         -0.56 |                [-0.46, -0.66] |
|                           FHG |                         -0.62 |                [-0.56, -0.68] |

