Timestamp,Opening Price,High Price,Low Price,Closing Price,No of Shares
1726358400,445.06,445.53,444.70,445.24,8893652530
1726380000,445.24,445.66,444.79,445.61,8895471743
1726401600,445.63,447.18,445.61,446.89,8895194259
1726423200,446.90,448.07,446.90,447.92,8892811400
1726444800,447.95,448.67,447.72,448.15,8892452489
1726466400,448.19,448.98,448.17,448.73,8892700460
1726488000,448.68,449.51,448.25,448.36,8662795235
1726509600,448.47,449.31,448.00,449.13,8664305082
1726531200,449.24,449.30,448.46,449.00,8657047265
1726552800,449.00,449.24,448.14,448.94,8257472107
1726574400,448.94,449.49,448.60,448.73,8256689623
1726596000,448.83,449.85,448.63,449.74,8253409201
1726617600,449.71,450.32,449.65,450.31,8253977917
1726639200,450.25,452.75,450.16,452.06,8258822266
1726660800,452.15,452.54,451.53,452.42,8256314545
1726682400,452.37,453.39,452.25,453.27,8234134678
1726704000,453.27,453.83,452.77,452.98,8224709337
1726725600,453.02,453.34,452.01,452.04,8231288536
1726747200,451.94,452.59,451.69,451.91,8232009939
1726768800,451.98,452.50,451.69,452.07,8231727784
1726790400,452.09,453.39,451.96,453.39,8229095877
1726812000,453.32,454.13,453.28,453.97,8227511808
1726833600,453.95,455.00,453.68,455.00,8250476734
1726855200,455.00,455.75,454.87,455.10,8249285119
1726876800,455.11,455.54,454.79,454.94,8239603604
1726898400,455.01,455.25,454.34,454.34,8239362675
1726920000,454.36,454.91,454.26,454.84,8238571275
1726941600,454.84,455.31,454.11,454.64,8236903264
1726963200,454.60,455.74,454.60,455.41,8237833426
1726984800,455.45,455.55,455.01,455.06,8239693540
1727006400,454.99,454.99,453.36,453.64,8236790970
1727028000,453.69,454.38,453.45,453.85,8233884893
1727049600,453.85,454.06,452.76,453.05,8227523996
1727071200,453.05,453.45,452.66,452.94,8229168064
1727092800,452.90,453.02,451.71,452.11,8193973729
1727114400,452.11,452.70,451.08,451.14,8193218248
1727136000,451.15,451.31,449.58,449.61,8194033432
1727157600,449.73,449.78,449.14,449.14,8193556473
1727179200,449.20,449.55,448.51,449.47,8191127655
1727200800,449.41,449.43,448.24,448.63,8189692969
1727222400,448.49,449.43,447.67,447.67,8195833230
1727244000,447.61,447.85,447.26,447.68,8188579581
1727265600,447.68,447.91,446.66,447.40,8190745210
1727287200,447.31,448.62,447.10,447.89,8188379647
1727308800,447.78,448.14,446.02,448.10,8189023641
1727330400,448.14,449.99,448.09,449.69,8188095542
1727352000,449.64,450.35,448.88,450.23,8188767091
1727373600,450.19,450.28,448.32,449.92,8193539204
1727395200,449.92,450.94,449.90,450.42,8192663151
1727416800,450.42,450.44,449.47,449.77,8194026696
1727438400,449.71,451.08,449.63,449.66,8191025206
1727460000,449.62,450.93,449.09,450.78,8189875085
1727481600,450.86,451.33,450.55,450.66,8189097898
1727503200,450.65,450.70,449.81,450.20,8189155807
1727524800,450.18,450.93,449.67,450.83,8188500378
1727546400,450.80,450.88,449.62,449.90,8188524290
1727568000,449.92,451.13,449.65,450.57,8187558068
1727589600,450.61,451.79,450.59,451.79,8198654875
1727611200,451.77,451.77,449.66,449.71,8188390745
1727632800,449.68,451.42,449.58,451.39,8193589629
1727654400,451.29,452.07,450.69,451.39,8197254389
1727676000,451.37,451.77,450.50,450.93,8198601914
1727697600,451.12,452.62,451.12,452.61,8196958313
1727719200,452.61,453.34,452.27,453.10,8196305438
1727740800,453.16,453.53,452.48,453.02,8193169322
1727762400,452.86,453.14,452.23,452.47,8194650648
1727784000,452.42,452.70,452.02,452.41,8191078011
1727805600,452.39,452.87,451.78,452.42,8191070617
1727827200,452.32,453.63,452.25,453.08,8182280067
1727848800,453.05,453.46,451.94,452.06,8180917801
1727870400,452.20,452.70,451.94,452.01,8178587357
1727892000,452.08,452.35,451.05,451.43,8176108834
1727913600,451.45,451.73,450.64,451.53,8176893455
1727935200,451.60,452.50,451.16,452.42,8175437843
1727956800,452.42,453.21,451.93,453.20,8175337004
1727978400,453.18,453.48,452.44,452.79,8172124128
1728000000,452.71,454.18,452.33,454.05,8171907147
1728021600,453.87,453.88,452.45,452.52,8184641020
1728043200,452.52,453.14,452.10,452.90,8185482387
1728064800,452.79,453.48,451.86,453.20,8183864561
1728086400,453.36,454.42,453.32,454.33,8184858431
1728108000,454.33,454.93,453.56,453.64,8185525739
1728129600,453.64,454.86,453.55,453.93,8184718255
1728151200,453.89,454.53,453.43,454.11,8186373998
1728172800,454.07,454.96,454.00,454.46,8183272721
1728194400,454.46,454.47,453.11,453.26,8182584037
1728216000,453.28,454.76,453.20,454.74,8185461530
1728237600,454.78,455.27,454.04,454.06,8181194452
1728259200,454.24,454.82,453.89,453.97,8186451730
1728280800,453.97,454.34,453.67,453.78,8188314111
1728302400,453.76,453.98,452.58,452.66,8187977846
1728324000,452.62,453.59,452.30,452.51,8186736480
1728345600,452.64,453.16,451.60,452.14,8184896571
1728367200,452.13,453.06,452.09,452.97,8201426880
